age,gender,status,country,platforms,main_platform,second_platform,daily_time_cat,day_moments,activities,mood_impact,emotions,self_esteem_impact,stop_scrolling_reason,anxiety_score,anxiety_more_usage,anxiety_after,sleep_difficulties,phone_before_sleep,failed_reduction,time_loss,notification_compulsion,productivity_impact,guilt_after_use,self_control_score,usage_is_healthy,improvement_wish,daily_time_numeric,use_morning,use_afternoon,use_evening,use_night,cycle_trigger_numeric,cycle_outcome_numeric,risk_sleep,risk_timeloss,risk_notification,risk_guilt,risk_failed_reduction,risk_productivity,total_risk_points,risk_score
28.0,Male,Employé(e),France,"['Instagram', 'LinkedIn']",Instagram,Instagram,Plus de 4 heures,"['Soir', 'Nuit (après 23h)']",['Scrolling / consommation passive'],1.0,['Distrait(e)'],Non,"Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps, On m’interrompt (appel, message, quelqu’un qui me parle), Honnêtement, j’arrête rarement de moi-même",1,Parfois,Ne change pas,Jamais,Tous les soirs,Non,Parfois,Toujours,1.0,Parfois,7.0,Je ne sais pas,Scroll automatique...,5.0,0,0,1,1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,2.0,33.33333333333333
27.0,Male,Employé(e),USA,"['Instagram', 'LinkedIn', 'Youtube', 'Tiktok']",Instagram,Tiktok,Plus de 4 heures,"['Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés', 'Travail / veille professionnelle']",5.0,['Distrait(e)'],Non,"Je culpabilise / j’ai l’impression d’avoir perdu trop de temps, On m’interrompt (appel, message, quelqu’un qui me parle)",5,Oui,Diminue,Rarement,Tous les soirs,Oui,Souvent,Toujours,4.0,Oui,3.0,Non,"Voici une version corrigée et fluide :

« J’aimerais avoir plus de contrôle sur mon usage des réseaux sociaux. Je trouve que le scrolling est devenu un geste plus involontaire que volontaire, surtout lorsqu’il s’agit de s’arrêter. »",5.0,0,0,1,1,2,-1,0.25,1.0,1.0,1.0,1.0,0.0,4.25,70.83333333333334
22.0,Female,Étudiant(e),France,"['Instagram', 'Youtube', 'Tiktok']",Instagram,Tiktok,1–2 heures,"['Matin', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés']",4.0,['Distrait(e)'],Non,"Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",6,Oui,Ne change pas,Rarement,Tous les soirs,Non,Parfois,Toujours,5.0,Oui,4.0,Non,Moins utiliser pour se reveiller le matin,1.5,1,0,0,1,2,0,0.25,0.5,1.0,1.0,0.0,1.0,3.75,62.5
22.0,Female,Étudiant(e),France,"['Facebook', 'Instagram', 'LinkedIn']",Instagram,Youtube,2–3 heures,['Soir'],"['Scrolling / consommation passive', 'Envoi de messages privés', 'Regarder des stories / lives']",4.0,['Anxieux(-se)'],Non,"Il se fait tard / je dois dormir, Je n’ai plus rien d’intéressant dans le fil, Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",6,Parfois,Augmente,"Oui, fréquemment",Tous les soirs,Non,Toujours,Toujours,6.0,Oui,3.0,oui,un temps limité ou l'appli s'arrete toute seule et se bloque après 30 mn pour un temps de 5 mn pour que le cerveau se déconnecte de l'appli et passe à autre chose.,2.5,0,0,1,0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,5.0,83.33333333333334
23.0,Female,Étudiant(e),France,"['Instagram', 'LinkedIn', 'Tiktok']",Tiktok,Instagram,Plus de 4 heures,"['Matin', 'Soir', 'Nuit (après 23h)']",['Scrolling / consommation passive'],3.0,['Anxieux(-se)'],"Oui, plutôt négativement","Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, J’ai atteint une limite de temps (réglage écran / appli / contrôle parental), Je culpabilise / j’ai l’impression d’avoir perdu trop de temps",3,Parfois,Augmente,"Oui, fréquemment",Tous les soirs,Oui,Souvent,Parfois,7.0,Oui,3.0,Non,,5.0,1,0,1,1,1,1,1.0,1.0,0.5,1.0,1.0,1.0,5.5,91.66666666666666
59.0,Female,Employé(e),Tunisia,['Youtube'],Youtube,Aucun en particulier,Moins de 30 minutes,['Après-midi'],['Travail / veille professionnelle'],5.0,['Relaxé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",6,Non,Ne change pas,Jamais,1–2 fois par semaine,Non,Parfois,Jamais,1.0,Non,6.0,oui,,0.25,0,1,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,8.333333333333332
29.0,Male,Étudiant(e),Tunisia,"['Facebook', 'Instagram', 'Youtube']",Facebook,Youtube,2–3 heures,"['Soir', 'Nuit (après 23h)']","['Envoi de messages privés', 'Regarder des stories / lives', 'Shopping / découverte de produits']",6.0,['Relaxé(e)'],"Oui, plutôt positivement","Je commence à avoir mal aux yeux / je suis fatigué(e), Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir",2,Oui,Diminue,Parfois,Tous les soirs,Oui,Parfois,Parfois,3.0,Non,5.0,oui,,2.5,0,0,1,1,2,-1,0.5,0.5,0.5,0.0,1.0,0.0,2.5,41.66666666666667
37.0,Male,Employé(e),France,"['Facebook', 'LinkedIn', 'Youtube']",Facebook,Youtube,1–2 heures,"['Soir', 'Nuit (après 23h)']","['Scrolling / consommation passive', 'Envoi de messages privés']",4.0,['Distrait(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso), Il se fait tard / je dois dormir, Je n’ai plus rien d’intéressant dans le fil",6,Parfois,Ne change pas,Rarement,Tous les soirs,Non,Parfois,Jamais,3.0,Non,4.0,Non,,1.5,0,0,1,1,1,0,0.25,0.5,0.0,0.0,0.0,0.0,0.75,12.5
68.0,Male,Retraité ,Tunisia,"['Facebook', 'Instagram', 'Youtube', 'X(Twitter)']",Youtube,Facebook,30 min – 1 heure,['Matin'],['Vidéo'],4.0,['Stressé(e)'],Non,"Je me rends compte que j’ai autre chose à faire (études, travail, tâches perso)",2,Non,Ne change pas,Jamais,3–5 fois par semaine,Non,Souvent,Jamais,1.0,Non,7.0,oui,Rien ,0.75,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666664
80.0,Female,Sans emploi,Tunisia,"['Facebook', 'Tiktok']",Tiktok,Facebook,1–2 heures,['Soir'],['Scrolling / consommation passive'],7.0,['Distrait(e)'],"Oui, plutôt positivement",Je culpabilise / j’ai l’impression d’avoir perdu trop de temps,1,Oui,Diminue,Jamais,Tous les soirs,Non,Souvent,Toujours,1.0,Non,7.0,oui,Rien,1.5,0,0,1,0,2,-1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,33.33333333333333
